,registro,classe_comercio,ano_mes,ano,mes,m3mensal
0,1,1. Combustíveis e lubrificantes,202202,2022,02,77.93475
1,2,"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",202202,2022,02,103.77789
2,3,2.1. Hipermercados e supermercados,202202,2022,02,106.07366
3,4,"3. Tecidos, vestuário e calçados",202202,2022,02,85.90898
4,5,4. Móveis e eletrodomésticos,202202,2022,02,89.11799
5,6,4.1. Móveis,202202,2022,02,92.53723
6,7,4.2. Eletrodomésticos,202202,2022,02,86.65863
7,8,"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",202202,2022,02,140.53191
8,9,"6. Livros, jornais, revistas e papelaria",202202,2022,02,26.02644
9,10,"7. Equipamentos e materiais para escritório, informática e comunicação",202202,2022,02,70.76512
10,11,8. Outros artigos de uso pessoal e doméstico,202202,2022,02,143.67328
11,12,Comércio Varejista Ampliado (2),202202,2022,02,103.75284
12,13,"9. Veículos, motocicletas, partes e peças",202202,2022,02,98.61774
13,14,10. Material de construção,202202,2022,02,119.31241
14,15,,202202,2022,02,nan
