,registro,UF,ano_mes,ano,mes,m3mensal
0,1,Brasil ,202201,2022,01,10.6
1,2,Rondônia,202201,2022,01,17
2,3,Acre,202201,2022,01,4.6
3,4,Amazonas,202201,2022,01,40
4,5,Roraima,202201,2022,01,21.8
5,6,Pará,202201,2022,01,12.7
6,7,Amapá,202201,2022,01,3.7
7,8,Tocantins,202201,2022,01,13
8,9,Maranhão,202201,2022,01,7.9
9,10,Piauí,202201,2022,01,14.8
10,11,Ceará,202201,2022,01,7.4
11,12,Rio Grande do Norte,202201,2022,01,6.3
12,13,Paraíba,202201,2022,01,5.2
13,14,Pernambuco,202201,2022,01,5.4
14,15,Alagoas,202201,2022,01,14.5
15,16,Sergipe,202201,2022,01,5.2
16,17,Bahia,202201,2022,01,9.3
17,18,Minas Gerais,202201,2022,01,5
18,19,Espírito Santo,202201,2022,01,18.5
19,20,Rio de Janeiro,202201,2022,01,8.5
20,21,São Paulo,202201,2022,01,9.2
21,22,Paraná,202201,2022,01,12.9
22,23,Santa Catarina,202201,2022,01,16.8
23,24,Rio Grande do Sul,202201,2022,01,16.4
24,25,Mato Grosso do Sul,202201,2022,01,16.6
25,26,Mato Grosso,202201,2022,01,26.3
26,27,Goiás,202201,2022,01,8.1
27,28,Distrito Federal,202201,2022,01,7.1
