,registro,UF,ano_mes,m3mensal
0,1,Brasil ,202204,1.5
1,2,Rondônia,202204,3.6
2,3,Acre,202204,3.3
3,4,Amazonas,202204,-2.4
4,5,Roraima,202204,5.2
5,6,Pará,202204,4.4
6,7,Amapá,202204,1.1
7,8,Tocantins,202204,-2.5
8,9,Maranhão,202204,0.6
9,10,Piauí,202204,6.4
10,11,Ceará,202204,9.2
11,12,Rio Grande do Norte,202204,9.9
12,13,Paraíba,202204,-2.2
13,14,Pernambuco,202204,-10.2
14,15,Alagoas,202204,11.1
15,16,Sergipe,202204,0.5
16,17,Bahia,202204,-5.8
17,18,Minas Gerais,202204,4.2
18,19,Espírito Santo,202204,3.5
19,20,Rio de Janeiro,202204,0.6
20,21,São Paulo,202204,1.3
21,22,Paraná,202204,-3.6
22,23,Santa Catarina,202204,4.5
23,24,Rio Grande do Sul,202204,2.8
24,25,Mato Grosso do Sul,202204,6.6
25,26,Mato Grosso,202204,7.4
26,27,Goiás,202204,1.9
27,28,Distrito Federal,202204,-0.4
