Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 8 - Indicadores de Receita Nominal de Vendas do Comércio Varejista Ampliado, segundo as unidades da federação",,,,,,,,,,,,
Março 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,JAN,FEV,MAR,JAN,FEV,MAR,JAN-JAN,JAN-FEV,JAN-MAR,Até JAN,Até FEV,Até MAR
Brasil ,2,3.3,0.4,12,14.5,19.3,12,13.2,15.3,18.4,18.8,18.6
Rondônia,2.7,6,2.2,13.3,13.9,17.4,13.3,13.6,15,22,21.9,20.2
Acre,1.7,6.9,-0.6,5.7,21.7,11.6,5.7,13.2,12.6,15.5,17.2,15.7
Amazonas,-4.4,3.2,-0.3,42.9,25.3,1.1,42.9,33.6,20.2,16.2,18.3,15.2
Roraima,3.8,4.6,5.2,22.2,26.6,25.9,22.2,24.3,24.9,25.4,26,24.8
Pará,2.3,3.8,1.7,14.1,18.8,26.2,14.1,16.3,19.7,20.6,20.9,21.2
Amapá,-6.4,9.6,5.5,1,12.6,30.6,1,6.5,13.9,18.2,17.8,18.4
Tocantins,-3.1,3.9,0.4,16.6,25.3,32.8,16.6,20.9,25,15.7,17.7,20
Maranhão,1.7,4.3,0.9,7,14.6,15.4,7,10.6,12.3,15.1,15,13.7
Piauí,-0.3,3.7,6,12.3,8.2,24.4,12.3,10.3,15,26.6,25.3,24.5
Ceará,2.4,1.1,-1.2,18.7,15.8,25.4,18.7,17.3,20,21.7,22.2,22.7
Rio Grande do Norte,-1.2,3.7,2.3,7.6,8.4,16.2,7.6,8,10.8,16.8,16.6,16.2
Paraíba,5.6,3.5,2.5,6.8,13.1,17.3,6.8,9.8,12.3,14.5,15,14.7
Pernambuco,2.7,-6.4,3.3,24.3,6.4,11.9,24.3,15.6,14.3,30.1,28.9,27
Alagoas,5.9,3.6,3.2,11.8,17,21.3,11.8,14.3,16.7,17.8,18.6,18.4
Sergipe,7.1,4.5,-0.2,12.3,17.8,20.5,12.3,14.9,16.8,17.9,18.6,17.8
Bahia,5.7,-0.3,0.1,20.2,12.2,22,20.2,16.3,18.2,22.4,22.9,22.9
Minas Gerais,-0.3,5.6,2,6.8,16.7,21.2,6.8,11.5,14.9,18.3,18.4,18.4
Espírito Santo,1.6,-1.7,10,18.6,13.9,24.9,18.6,16.3,19.4,27.6,27,25.9
Rio de Janeiro,1.8,1.7,1.3,8.8,11.4,11.3,8.8,10,10.5,13.4,14.1,13.5
São Paulo,0.9,4.6,0.3,7.8,12,18.8,7.8,9.9,12.9,15.3,15.5,15.7
Paraná,2.6,1.9,0.9,11.9,12.7,15.8,11.9,12.3,13.5,17.5,17.7,17.1
Santa Catarina,2.6,3.3,1.4,20.7,24.8,26.6,20.7,22.7,24.1,25.5,26.6,25.8
Rio Grande do Sul,-0.5,2.2,1,12.9,16.2,18.6,12.9,14.5,16,19.5,20.8,20.6
Mato Grosso do Sul,-0.7,7.2,0.3,19.8,28.7,25.2,19.8,24.2,24.6,27.3,28.5,28
Mato Grosso,2.7,3.8,1.2,21.8,19.2,19.2,21.8,20.5,20,21.2,22.1,21.6
Goiás,2.4,-0.4,8.2,19.6,17,35.5,19.6,18.3,24.2,24.8,25.2,26.8
Distrito Federal,2.4,5.2,-0.4,7.1,13.3,20.8,7.1,10.1,13.7,13.6,14.8,15.4
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
