Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
"Tabela 5 - Índice de base fixa do volume de vendas no comércio varejista (1) e comércio varejista ampliado (2), por atividades - abril 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos acumulado no ano no mês anterior"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atividades,Comércio varejista ampliado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abr/2021,mai/2021,jun/2021,jul/2021,ago/2021,set/2021,out/2021,nov/2021,dez/2021,jan/2022,fev/2022,mar/2022,abr/2022,,,,,,,,,,,,,,,,,,,,,,,
Comércio Varejista (1),91.74785,99.58965,95.87829,103.55395,96.9722,92.96358,97.52042,104.02254,121.37463,92.15797,87.19062,95.80986,95.90043,,,,,,,,,,,,,,,,,,,,,,,
1. Combustíveis e lubrificantes,68.95496,74.22643,72.81512,77.93475,72.89177,70.74899,72.40169,68.64214,71.93503,66.09568,65.96138,77.26796,75.65822,,,,,,,,,,,,,,,,,,,,,,,
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",99.12146,101.03704,97.44684,103.77789,100.61499,97.3304,103.06194,102.54846,122.63786,97.16803,94.88841,100.4832,103.12124,,,,,,,,,,,,,,,,,,,,,,,
2.1. Hipermercados e supermercados,101.54148,103.41523,99.52026,106.07366,102.7229,99.18822,105.38202,104.92299,125.75262,99.40251,96.73237,102.49088,105.61166,,,,,,,,,,,,,,,,,,,,,,,
"3. Tecidos, vestuário e calçados",55.68184,85.72252,80.71698,85.90898,78.07314,71.25253,79.35732,87.18422,144.61773,59.13263,59.5039,67.31014,74.54949,,,,,,,,,,,,,,,,,,,,,,,
4. Móveis e eletrodomésticos,81.58353,94.21136,86.32955,89.11799,84.9915,80.72227,78.85918,98.25104,100.51252,78.12205,69.79992,80.46079,74.45334,,,,,,,,,,,,,,,,,,,,,,,
4.1. Móveis,76.64708,87.65284,84.27722,92.53723,88.68629,80.53078,82.32101,91.10658,97.12572,73.47783,68.77298,75.74252,71.50877,,,,,,,,,,,,,,,,,,,,,,,
4.2. Eletrodomésticos,83.26021,96.53521,86.63175,86.65863,82.52483,79.93554,76.54104,100.64371,100.76442,79.47704,69.39956,81.64447,74.75817,,,,,,,,,,,,,,,,,,,,,,,
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",133.88501,138.0449,135.31641,140.53191,138.59291,135.49877,136.96416,143.68392,164.45261,152.26798,134.64797,149.77286,138.52414,,,,,,,,,,,,,,,,,,,,,,,
"6. Livros, jornais, revistas e papelaria",24.54758,22.29209,26.56794,26.02644,25.40062,22.25478,23.60044,28.02652,40.84652,48.59026,42.08135,32.95478,24.32145,,,,,,,,,,,,,,,,,,,,,,,
"7. Equipamentos e materiais para escritório, informática e comunicação",64.72043,71.86275,69.46631,70.76512,66.0198,61.58927,68.011,80.5065,78.76182,59.84902,62.37699,76.68198,64.37804,,,,,,,,,,,,,,,,,,,,,,,
8. Outros artigos de uso pessoal e doméstico,106.56509,121.34533,118.28516,143.67328,116.92364,109.9648,118.4073,149.28252,153.5258,107.79612,93.69119,106.49976,108.16804,,,,,,,,,,,,,,,,,,,,,,,
Comércio Varejista Ampliado (2),91.98824,99.19007,97.34881,103.75284,99.51586,94.85271,97.17184,103.02962,113.81092,90.28867,86.10115,96.56767,93.3782,,,,,,,,,,,,,,,,,,,,,,,
"9. Veículos, motocicletas, partes e peças",87.33495,92.21712,94.86776,98.61774,100.24261,92.92306,90.58521,95.34125,97.03164,82.2607,80.32797,92.83105,85.52506,,,,,,,,,,,,,,,,,,,,,,,
10. Material de construção,106.54234,115.25995,115.24866,119.31241,116.74091,114.40522,112.56947,116.57589,102.60851,98.14455,93.67534,112.52098,95.82332,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:  Base: 2014 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
