Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 6 - Indicadores de Receita Nominal de Vendas do Comércio Varejista e Comércio Varejista Ampliado, segundo as atividades de divulgação",,,,,,,,,,,,
Janeiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Atividades de Divulgação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,NOV,DEZ,JAN,NOV,DEZ,JAN,JAN-NOV,JAN-DEZ,JAN-JAN,Até NOV,Até DEZ,Até JAN
Receita de vendas do comércio varejista (5),1.2,0.4,1.5,8.8,8.9,10.6,14.5,13.9,10.6,14,13.9,14
1. Combustíveis e lubrificantes,5.4,-1.5,-0.2,42.1,39.5,34.5,35.1,35.5,34.5,30.9,35.5,39.6
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",0.5,-0.7,0.7,8.3,7.5,7.4,9.9,9.7,7.4,10.7,9.7,8.9
2.1. Hipermercados e supermercados,0.2,-0.6,0.5,8.1,7.3,7.3,10.1,9.8,7.3,11,9.8,9
"3. Tecidos, vestuário e calçados",-1.3,0,-3.5,3.6,8.9,14,21.9,19.6,14,15.6,19.6,23
4. Móveis e eletrodomésticos,-0.6,1.5,1.1,-12,-8.4,-0.1,4.9,3.4,-0.1,5.5,3.4,3.1
4.1. Móveis,-,-,-,-8,-4.5,4.1,8.4,7,4.1,8.4,7,7.4
4.2. Eletrodomésticos,-,-,-,-13.4,-10.4,-1.7,3.8,2.2,-1.7,4.6,2.2,1.6
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",1.9,6.6,4,8.2,13.7,16.7,13.1,13.1,16.7,13.1,13.1,13.5
"6. Livros, jornais, revistas e papelaria",3.9,-1.1,-0.2,-10.2,-1.5,28.9,-16.5,-14.9,28.9,-19.8,-14.9,-1.4
"7. Equipamentos e materiais para escritório, informática e comunicação",-0.4,-0.6,0.8,-5,-5.3,-5.1,5.5,4.3,-5.1,4.9,4.3,4.1
8. Outros artigos de uso pessoal e doméstico,3.1,-4.9,4.7,8.3,4.3,5.3,24,21.5,5.3,21.6,21.5,20.6
Receita de vendas do comércio varejista ampliado (6),1,0.6,1.2,11.2,10.4,12,18.9,18,12,18.2,18,18.4
"9. Veículos, motocicletas, partes e peças",2.3,3.3,-1.5,17.9,17.7,19.8,30.9,29.5,19.8,28.8,29.5,32.3
10. Material de construção,1.8,-0.2,0.3,15.4,8.9,7.9,29.6,27.7,7.9,30.2,27.7,25.8
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Indústria  ",,,,,,,,,,,,
(1) Base: mês imediatamente anterior -série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: últimos 12 meses anteriores,,,,,,,,,,,,
(5) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,
(6) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,
