Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 7 - Indicadores de Receita Nominal de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Abril 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,FEV,MAR,ABR,FEV,MAR,ABR,JAN-FEV,JAN-MAR,JAN-ABR,Até FEV,Até MAR,Até ABR
Brasil ,2.5,7.5,1.3,14.3,19.3,22.3,12.6,14.9,16.8,14.7,15.1,14.5
Rondônia,4.4,2.4,2.4,13.6,17.9,19.4,15.1,16.1,17,17.6,16.8,14.3
Acre,4.5,1.5,4.3,23.6,12.4,19.2,13.8,13.3,14.8,15.9,14.9,13.5
Amazonas,3.5,0.6,3.3,27.3,2.4,7.7,33.7,20.9,17.1,17.1,14.7,11.5
Roraima,3.5,6,-3.4,30.2,24.9,24.4,25.8,25.5,25.2,22.2,21.6,20.3
Pará,4,1.8,2.6,18.5,27,21.2,15.4,19.3,19.8,18.1,18.7,17
Amapá,9.4,5.1,0.2,14.5,32.9,20.1,8.9,16.3,17.3,20,21,17.8
Tocantins,-3.5,0.2,3.6,11.4,18.6,15.6,12.2,14.4,14.7,4.9,7.7,8.3
Maranhão,5.6,2.9,2,14.8,16.9,19.7,11.2,13.1,14.8,10.4,10.1,9.1
Piauí,3.6,3.5,4.1,5.6,19.6,28.4,10.1,13.3,16.9,21.2,20.7,19.5
Ceará,4.7,-1,3.8,14.3,32.6,34.6,11.5,18,22.1,10.2,12.3,12.7
Rio Grande do Norte,5.3,4,5,11.5,16.2,25.6,8.8,11.3,14.9,13.6,13.8,13.6
Paraíba,2.7,4.4,2,9.5,14.3,21.7,7.2,9.6,12.6,8.2,8.6,8.3
Pernambuco,1.3,11.5,-8.1,5.4,16.6,9.2,5.3,9.1,9.1,12.6,12.5,10.2
Alagoas,2.6,3.7,5.1,14.2,17.7,33.1,14.3,15.4,19.7,12.7,13,13.3
Sergipe,3,4.2,3.2,6.7,11.4,25.2,5.9,7.8,12,9.3,9,8.9
Bahia,4.3,0.8,1.4,13.6,21.4,14.8,11.5,14.8,14.8,13.7,14.6,12.8
Minas Gerais,6.1,3.7,1.8,15.3,19.5,24.1,9.9,13.2,15.9,14.8,15,14.5
Espírito Santo,3.8,3.4,1.5,22.5,24.6,33.3,20.3,21.8,24.7,20.1,20.5,20.5
Rio de Janeiro,2.3,1.3,1.1,12.5,9.7,15.2,10.4,10.2,11.5,10.7,10.3,9.3
São Paulo,2.6,4.9,0.2,12.2,16.7,21.8,11.3,13.2,15.4,14.4,14.8,14.1
Paraná,3.2,3.1,0.9,15.6,20.7,24.6,14.3,16.5,18.5,15.2,16.1,15.8
Santa Catarina,3.2,4.2,2.2,18.2,22.8,25,17.2,19.1,20.6,17.8,18.1,17.9
Rio Grande do Sul,2,12.8,2.6,19.5,30.4,27.2,18.1,22.4,23.8,19.7,21.4,20.8
Mato Grosso do Sul,5.2,4.8,1.6,22.5,25.1,27.3,19.5,21.5,22.9,22.2,22.5,21.9
Mato Grosso,4.4,9.1,0.1,17.8,28.2,33.1,21.3,23.8,26.1,16.8,18.2,19
Goiás,2.8,11.5,-2.2,11.2,25.5,19.1,9.6,14.9,16,13.1,14.5,13.4
Distrito Federal,10.2,1.4,1.4,18.1,35.3,26.6,12.2,19.8,21.5,10.6,13.8,13.9
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
