Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
"Tabela 7 - Indicadores de Receita Nominal de Vendas do Comércio Varejista, segundo as unidades da federação",,,,,,,,,,,,
Janeiro 2022 - Variação (%),,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Mês/Mês anterior (1),,,Mensal (2),,,Acumulado no ano (3),,,Últimos 12 meses (4),,
,NOV,DEZ,JAN,NOV,DEZ,JAN,JAN-NOV,JAN-DEZ,JAN-JAN,Até NOV,Até DEZ,Até JAN
Brasil ,1.2,0.4,1.5,8.8,8.9,10.6,14.5,13.9,10.6,14,13.9,14
Rondônia,0.7,-6,5.1,-1.7,4.6,17,16.1,14.8,17,15.1,14.8,16.8
Acre,-0.2,-4,0.6,2.7,4.4,4.6,15,13.8,4.6,14.4,13.8,13.5
Amazonas,1.5,0.5,-1.9,5.6,6.6,40,11.4,10.9,40,12,10.9,14.8
Roraima,5,0.4,2.3,19.1,17.2,21.8,20.6,20.2,21.8,20.7,20.2,20.8
Pará,0.5,-0.7,3.1,6.9,8.7,12.7,19.6,18.3,12.7,19.9,18.3,17.8
Amapá,2.9,-2.6,-1.6,10.5,5.1,3.7,24,21.6,3.7,23.4,21.6,20.4
Tocantins,-1.1,3.7,0.9,8.9,16.1,13,1,2.3,13,0,2.3,2.8
Maranhão,-1.1,-0.4,1.3,-0.2,6.7,7.9,10.9,10.5,7.9,11.7,10.5,10.1
Piauí,-1.8,1.3,0.9,8.8,9.9,14.8,24.7,23,14.8,24.5,23,22.9
Ceará,2.8,-2,0.8,6.4,4.1,7.4,9.5,8.9,7.4,9.6,8.9,9.2
Rio Grande do Norte,-0.9,1.5,-0.7,5.5,8.9,6.3,13.8,13.3,6.3,13.6,13.3,13.1
Paraíba,-1.7,0.4,2.1,2,2.8,5.2,8.3,7.7,5.2,7.9,7.7,7.6
Pernambuco,-0.8,-3.6,2.9,4.1,0.9,5.4,15.2,13.5,5.4,14.8,13.5,13.1
Alagoas,0.3,-1.6,3.8,3.9,4.7,14.5,11.5,10.7,14.5,11.5,10.7,11.6
Sergipe,-0.7,0.1,0.6,-0.4,3,5.2,9.8,9.1,5.2,9.6,9.1,9.1
Bahia,-1.5,-1.3,4.4,1.9,2.9,9.3,13.5,12.3,9.3,11.7,12.3,12.8
Minas Gerais,1.3,-0.8,0.3,10.2,11,5,16.6,16,5,16.3,16,14.5
Espírito Santo,2.7,0.6,3,17.2,15.3,18.5,19.2,18.8,18.5,19.2,18.8,19.2
Rio de Janeiro,2.7,-2.7,3.5,4.7,3.3,8.5,10.4,9.6,8.5,10,9.6,9.8
São Paulo,1.6,0.3,1.2,8.5,8.5,9.2,15.1,14.3,9.2,14.6,14.3,14.1
Paraná,1.7,0,2,12,11.5,12.9,14.2,13.9,12.9,13.5,13.9,14.4
Santa Catarina,1,0.3,0.6,11.6,14.9,16.8,16.6,16.4,16.8,16.4,16.4,17
Rio Grande do Sul,-0.2,-0.4,1,17.2,15.9,16.4,16.5,16.4,16.4,14.7,16.4,17.8
Mato Grosso do Sul,-1.3,-0.1,0.4,15.6,17.2,16.6,20.8,20.4,16.6,19.9,20.4,21.1
Mato Grosso,1.9,-2.7,2.4,14.2,10.8,26.3,13.3,13,26.3,12.9,13,15.4
Goiás,1.5,0.6,2.3,7.6,9,8.1,12.5,12.1,8.1,11.5,12.1,12.5
Distrito Federal,4.2,-2.5,0.7,11,7.1,7.1,7.6,7.5,7.1,6.5,7.5,8.4
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Indústria",,,,,,,,,,,,
(1) Base: mês imediatamente anterior - série com ajuste sazonal,,,,,,,,,,,,
(2) Base: igual mês do ano anterior,,,,,,,,,,,,
(3) Base: igual período do ano anterior,,,,,,,,,,,,
(4) Base: 12 meses anteriores,,,,,,,,,,,,
