Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
"Tabela 10 - Índice de base fixa da receita nominal de vendas no comércio varejista (1) e comércio varejista ampliado (2), por atividades - janeiro 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos acumulado no ano no mês anterior"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atividades,Comércio varejista ampliado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jan/2021,fev/2021,mar/2021,abr/2021,mai/2021,jun/2021,jul/2021,ago/2021,set/2021,out/2021,nov/2021,dez/2021,jan/2022,,,,,,,,,,,,,,,,,,,,,,,
Comércio Varejista (1),132.9,124.1,134.4,134.6,146.2,141.9,153.9,146.6,142.7,151.7,161.5,189,146.9,,,,,,,,,,,,,,,,,,,,,,,
1. Combustíveis e lubrificantes,110.8,110,128.1,127.2,142.8,141.5,153.3,147.3,146.6,154.7,157.7,163.6,149.1,,,,,,,,,,,,,,,,,,,,,,,
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",153,145.5,162.6,155.6,158.9,153.8,165.1,162.4,159.2,170.3,169.3,204.6,164.2,,,,,,,,,,,,,,,,,,,,,,,
2.1. Hipermercados e supermercados,155.7,148.2,165.6,158.6,161.9,156.5,168.2,165.1,161.4,173.3,172.2,208.8,167.1,,,,,,,,,,,,,,,,,,,,,,,
"3. Tecidos, vestuário e calçados",66.3,63.4,42.7,64.5,99.9,95.5,102.3,93.5,85.6,97.1,107.6,181.8,75.7,,,,,,,,,,,,,,,,,,,,,,,
4. Móveis e eletrodomésticos,103.5,94.9,89.1,97.1,113.6,105.5,109.6,105.3,100.9,100,125.6,130.7,103.3,,,,,,,,,,,,,,,,,,,,,,,
4.1. Móveis,89,82.1,79.1,87.6,101.2,97.5,107.5,103.8,95.2,98.9,110.6,120.4,92.6,,,,,,,,,,,,,,,,,,,,,,,
4.2. Eletrodomésticos,109.6,100.4,93.2,100.9,118.6,108.5,109.7,105.2,102.8,99.7,131.8,134,107.7,,,,,,,,,,,,,,,,,,,,,,,
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",175.8,162.7,190,180.4,188.7,185.5,191.4,188.9,184.8,188.5,198.8,228.2,205.1,,,,,,,,,,,,,,,,,,,,,,,
"6. Livros, jornais, revistas e papelaria",56.7,51.2,33.8,35.7,32.2,38.8,38.5,37.6,33,34.9,42.1,61.1,73.2,,,,,,,,,,,,,,,,,,,,,,,
"7. Equipamentos e materiais para escritório, informática e comunicação",67.1,70.1,68.9,68,74.4,72.3,74.5,69.7,64.4,70.9,82.4,82.7,63.7,,,,,,,,,,,,,,,,,,,,,,,
8. Outros artigos de uso pessoal e doméstico,145.5,118.9,126.6,138.4,158.5,155.8,188.9,156.1,150,163.3,207.4,214.4,153.2,,,,,,,,,,,,,,,,,,,,,,,
Comércio Varejista Ampliado (2),124.6,118.1,128.6,129,139.8,138,148.4,144.3,139.7,145.3,154.6,172.1,139.5,,,,,,,,,,,,,,,,,,,,,,,
"9. Veículos, motocicletas, partes e peças",94.1,92.9,102,104.7,111.7,115.5,121.4,125.2,118,116.6,124.9,129.1,112.7,,,,,,,,,,,,,,,,,,,,,,,
10. Material de construção,145.4,141.6,157.8,153.4,168.1,169.8,180.5,179.2,176.5,176,183.8,162.1,156.9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Serviços e Comércio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:  Base: 2014 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
